,,,
Applies to categories,,NEW Base Price (oct 21),
DRESSES,Same upcharges as for skirt complexities,,
DRESSES,Shorten straps (very basic),18.0,
DRESSES,Shorten straps (normal),22.5,
DRESSES,Shorten straps (detail/ beads)                 from,40.0,
DRESSES,Take in / let out side seams or centre back,35.0,
DRESSES,"If delicate fabric (lace, silk, chiffon)",45.0,
DRESSES,Reline dress,Quote,
DRESSES,Rehem standard dress,20.0,
DRESSES,Repair tear,Quote,
DRESSES,Insert popper button/snap/hook,9.0,
DRESSES,Insert/ replace zip (basic),45.0,
DRESSES,Insert/ replace zip (lined/detail/binding),55.0,
DRESSES,Resew button,4.0,
DRESSES,Replace button,5.5,
DRESSES,Button loop,10.0,
EVENING DRESSES,,,
EVENING DRESSES,Shorten /lengthen dress hem (no lining and hem <1m),45.0,
EVENING DRESSES,"If delicate fabric (lace, silk, chiffon)",20.0,
EVENING DRESSES,If dress or skirt opening,10.0,
EVENING DRESSES,If wide dress or skirt (>=2m + per metre),10.0,
EVENING DRESSES,If lined,30.0,
EVENING DRESSES,If dress or skirt lining (loose),25.0,
EVENING DRESSES,If dress or skirt lining (closed),30.0,
EVENING DRESSES,If uneven hem,10.0,
EVENING DRESSES,if pin hem,20.0,
EVENING DRESSES,If marked pleats,20.0,
EVENING DRESSES,If very small pleats,30.0,
EVENING DRESSES,If trim to be placed back,30.0,
EVENING DRESSES,If zip to be removed,35.0,
EVENING DRESSES,Dress lengthening (add facing),15.0,
EVENING DRESSES,Lengthen dress hem (no lining and hem <1m),45.0,
EVENING DRESSES,Shorten dress from waist,55.0,
EVENING DRESSES,Same upcharges as for skirt complexities,,
EVENING DRESSES,Repair tear,Quote,
EVENING DRESSES,Shorten straps (very basic- no detail),20.0,
EVENING DRESSES,Shorten straps (normal),25.0,
EVENING DRESSES,Shorten straps (detail/ beads)                 from,40.0,
EVENING DRESSES, Lift shoulders (plain)                                   from,40.0,
EVENING DRESSES,Take in / let out side seams or centre back,35.0,
EVENING DRESSES,Reline dress,Quote,
EVENING DRESSES,Insert popper button/snap/hook,9.0,
EVENING DRESSES,Insert/ replace zip (basic),45.0,
EVENING DRESSES,Insert/ replace zip (lined/detail/binding),65.0,
EVENING DRESSES,Resew button,4.0,
EVENING DRESSES,Replace button,5.5,
EVENING DRESSES,Button loop,10.0,
SUEDE & LEATHER JACKETS,,,
SUEDE & LEATHER JACKETS,Shortening sleeves,,
SUEDE & LEATHER JACKETS,Shortening sleeves from shoulder,,
SUEDE & LEATHER JACKETS,Take in side seam,,
SUEDE & LEATHER JACKETS,Shorten body hem,,
CURTAINS,,,
CURTAINS,Shortening,,
CURTAINS,Remove rods,,
JEANS,,,
JEANS,Shorten hem (raw cut edge),19.0,
JEANS,Shorten hem (topstitch),20.0,
JEANS,Shorten with original finish (binding),25.0,
JEANS,Take in waist (C/B Only),30.0,
JEANS,Take in waist (S/S),35.0,
JEANS,Take in waist (C/B and S/S),40.0,
JEANS,Taper leg ,45.0,
JEANS,Taper leg with original finish,Quote,
JEANS,Taper half leg,35.0,
JEANS,Replace press button,10.0,
JEANS,Patch crotch (one side),15.0,
JEANS,Patch crotch (two sides),25.0,
JEANS,Patch seat (one side),15.0,
JEANS,Patch seat (two sides),25.0,
JEANS,Repair belt loops,15.0,
JEANS,Repair half pocket,25.0,
JEANS,Change pocket lining,35.0,
JEANS,Insert/Replace zip,25.0,
BRA,,,
BRA,Shorten straps ,15.0,
BRA,Move clasp,20.0,
TIES,,,
TIES,Repair hook,9.0,
TIES,Stitch label,3.0,
TIES,Stitch seam,10.0,
HOME LINEN,,,
HOME LINEN,New zip (price per metre),25.0,
HOME LINEN,New popper tape (price per metre),25.0,
HOME LINEN,Change elastic (price per metre),15.0,
HOME LINEN,Small patch,15.0,
HOME LINEN,Large patch,Quote,
HOME LINEN,Repair seam,15.0,
HOME LINEN,Pillow cover repairs,Quote,
HOME LINEN,Add hook for towel,15.0,
HOME LINEN,Resize towel,Quote,
KNITWEAR ACCESSORIES,,,
KNITWEAR ACCESSORIES,Repair hole - small 2mm max,5.0,
KNITWEAR ACCESSORIES,Repair hole - medium 2mm to 5mm,10.0,
KNITWEAR ACCESSORIES,Repair hole - large more than 5mm,Quote,
LEATHER TROUSERS,,,
LEATHER TROUSERS,Take in Waist,55.0,
LEATHER TROUSERS,Shorten hem- cut,45.0,
LEATHER TROUSERS,Shorten hem- Topstitch,55.0,
